年度,計畫名稱,隊數,人數
113,青年國際發聲(執行中),4,24
113,青年海外志工服務隊,111,1181
112,青年國際發聲,11,67
112,青年海外志工服務隊,84,832
111,青年國際發聲(執行中),4,7
111,青年海外志工服務隊(執行中),0,0
110,青年國際發聲,0,0
110,青年海外志工服務隊,0,0
109,青年國際發聲,4,9
109,青年海外志工服務隊(寒假),26,271
108,青年國際發聲,33,259
108,青年海外志工服務隊,157,1612
107,青年國際參與及交流,20,892
107,青年海外志工服務隊,98,1000
106,青年國際參與及交流,14,102
106,青年海外志工服務隊,92,971
105,青年參與海外發聲及壯舉,16,56
105,青年海外志工服務隊,84,971
105,青年海外志工僑校服務隊,18,96
104,青年參與海外發聲及壯舉,45,243
104,青年海外志工服務隊,98,1186
104,青年海外志工僑校服務隊,17,78
103,青年參與海外發聲及壯舉,15,62
103,青年海外志工服務隊,133,"1,585"
103,青年海外志工僑校服務隊,29,117
102,青年參與海外發聲及壯舉,10,76
102,青年海外志工服務隊,111,1879
102,青年海外志工僑校服務隊,28,109
